slug,title,discoteca_slug,subtitle,description,event_type,start_at,end_at,door_open_at,currency,price_from,price_to,tickets_url,poster_url,status,active,source,metadata
hi-ibiza-20260605-dom-dolla,Dom Dolla @ 05 Jun 2026,hi-ibiza,Dom Dolla & Friends,Dom Dolla en hi-ibiza - 05/06/2026,event,2026-06-05T23:59:00Z,2026-06-06T06:00:00Z,2026-06-05T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260605-music-on,Music On @ 05 Jun 2026,pacha,Marco Carola,Music On en pacha - 05/06/2026,event,2026-06-05T23:59:00Z,2026-06-06T06:00:00Z,2026-06-05T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260605-galactic-circus,Galactic Circus @ 05 Jun 2026,unvrs,David Guetta,Galactic Circus en unvrs - 05/06/2026,event,2026-06-05T23:59:00Z,2026-06-06T06:00:00Z,2026-06-05T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260605-glitterbox,Glitterbox @ 05 Jun 2026,amnesia,Armand Van Helden,Glitterbox en amnesia - 05/06/2026,event,2026-06-05T23:59:00Z,2026-06-06T06:00:00Z,2026-06-05T23:00:00Z,EUR,60,140,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
eden-20260605-viva-warriors,Viva Warriors @ 05 Jun 2026,eden,Lineup TBA,Viva Warriors en eden - 05/06/2026,event,2026-06-05T23:59:00Z,2026-06-06T06:00:00Z,2026-06-05T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260606-ants,ANTS @ 06 Jun 2026,ushuaia,Lineup estelar,ANTS en ushuaia - 06/06/2026,event,2026-06-06T23:59:00Z,2026-06-07T06:00:00Z,2026-06-06T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260606-black-coffee,Black Coffee @ 06 Jun 2026,hi-ibiza,Black Coffee & Friends,Black Coffee en hi-ibiza - 06/06/2026,event,2026-06-06T23:59:00Z,2026-06-07T06:00:00Z,2026-06-06T23:00:00Z,EUR,65,150,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260606-robin-schulz,Robin Schulz @ 06 Jun 2026,pacha,Robin Schulz & Friends,Robin Schulz en pacha - 06/06/2026,event,2026-06-06T23:59:00Z,2026-06-07T06:00:00Z,2026-06-06T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260606-elrow,elrow @ 06 Jun 2026,unvrs,Enter the Wortex,elrow en unvrs - 06/06/2026,event,2026-06-06T23:59:00Z,2026-06-07T06:00:00Z,2026-06-06T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260606-elrow,elrow @ 06 Jun 2026,amnesia,Lineup loco,elrow en amnesia - 06/06/2026,event,2026-06-06T23:59:00Z,2026-06-07T06:00:00Z,2026-06-06T23:00:00Z,EUR,55,130,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
dc10-20260606-circoloco,Circoloco @ 06 Jun 2026,dc10,Lineup TBA,Circoloco en dc10 - 06/06/2026,event,2026-06-06T23:59:00Z,2026-06-07T06:00:00Z,2026-06-06T23:00:00Z,EUR,55,140,https://dc10.com/tickets,https://images.ibizaglam.app/dc10-event.jpg,scheduled,true,manual,{}
eden-20260606-defected,Defected @ 06 Jun 2026,eden,Lineup TBA,Defected en eden - 06/06/2026,event,2026-06-06T23:59:00Z,2026-06-07T06:00:00Z,2026-06-06T23:00:00Z,EUR,40,90,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260607-swedish-house-mafia,Swedish House Mafia @ 07 Jun 2026,ushuaia,SHM,Swedish House Mafia en ushuaia - 07/06/2026,event,2026-06-07T23:59:00Z,2026-06-08T06:00:00Z,2026-06-07T23:00:00Z,EUR,75,180,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260607-the-anarchist,The Anarchist @ 07 Jun 2026,hi-ibiza,Lineup TBA,The Anarchist en hi-ibiza - 07/06/2026,event,2026-06-07T23:59:00Z,2026-06-08T06:00:00Z,2026-06-07T23:00:00Z,EUR,55,130,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260607-solomun-+1,Solomun +1 @ 07 Jun 2026,pacha,Solomun,Solomun +1 en pacha - 07/06/2026,event,2026-06-07T23:59:00Z,2026-06-08T06:00:00Z,2026-06-07T23:00:00Z,EUR,60,140,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260607-carl-cox,Carl Cox @ 07 Jun 2026,unvrs,Carl Cox all-night-long,Carl Cox en unvrs - 07/06/2026,event,2026-06-07T23:59:00Z,2026-06-08T06:00:00Z,2026-06-07T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260607-together,Together @ 07 Jun 2026,amnesia,Lineup TBA,Together en amnesia - 07/06/2026,event,2026-06-07T23:59:00Z,2026-06-08T06:00:00Z,2026-06-07T23:00:00Z,EUR,50,120,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
ushuaia-20260608-f***-me-im-famous,F*** ME I'M FAMOUS! @ 08 Jun 2026,ushuaia,David Guetta & Friends,F*** ME I'M FAMOUS! en ushuaia - 08/06/2026,event,2026-06-08T23:59:00Z,2026-06-09T06:00:00Z,2026-06-08T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260608-solèy,Solèy @ 08 Jun 2026,hi-ibiza,Francis Mercier & Guests,Solèy en hi-ibiza - 08/06/2026,event,2026-06-08T23:59:00Z,2026-06-09T06:00:00Z,2026-06-08T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260608-sonny-fodera,Sonny Fodera @ 08 Jun 2026,pacha,Sonny Fodera & Friends,Sonny Fodera en pacha - 08/06/2026,event,2026-06-08T23:59:00Z,2026-06-09T06:00:00Z,2026-06-08T23:00:00Z,EUR,45,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260608-experts-only,Experts Only @ 08 Jun 2026,unvrs,John Summit,Experts Only en unvrs - 08/06/2026,event,2026-06-08T23:59:00Z,2026-06-09T06:00:00Z,2026-06-08T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
dc10-20260608-circoloco,Circoloco @ 08 Jun 2026,dc10,Lineup TBA,Circoloco en dc10 - 08/06/2026,event,2026-06-08T23:59:00Z,2026-06-09T06:00:00Z,2026-06-08T23:00:00Z,EUR,50,130,https://dc10.com/tickets,https://images.ibizaglam.app/dc10-event.jpg,scheduled,true,manual,{}
ushuaia-20260609-calvin-harris,Calvin Harris @ 09 Jun 2026,ushuaia,Calvin Harris,Calvin Harris en ushuaia - 09/06/2026,event,2026-06-09T23:59:00Z,2026-06-10T06:00:00Z,2026-06-09T23:00:00Z,EUR,80,200,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260609-eastenderz,eastenderz @ 09 Jun 2026,hi-ibiza,East End Dubs & Guests,eastenderz en hi-ibiza - 09/06/2026,event,2026-06-09T23:59:00Z,2026-06-10T06:00:00Z,2026-06-09T23:00:00Z,EUR,55,130,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260609-vintage-culture,Vintage Culture @ 09 Jun 2026,pacha,Vintage Culture,Vintage Culture en pacha - 09/06/2026,event,2026-06-09T23:59:00Z,2026-06-10T06:00:00Z,2026-06-09T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260609-æden,ÆDEN @ 09 Jun 2026,unvrs,Anyma,ÆDEN en unvrs - 09/06/2026,event,2026-06-09T23:59:00Z,2026-06-10T06:00:00Z,2026-06-09T23:00:00Z,EUR,80,200,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260609-cocoon,Cocoon @ 09 Jun 2026,amnesia,Sven Väth,Cocoon en amnesia - 09/06/2026,event,2026-06-09T23:59:00Z,2026-06-10T06:00:00Z,2026-06-09T23:00:00Z,EUR,55,130,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
ushuaia-20260610-tomorrowland,Tomorrowland @ 10 Jun 2026,ushuaia,Dimitri Vegas & Like Mike,Tomorrowland en ushuaia - 10/06/2026,event,2026-06-10T23:59:00Z,2026-06-11T06:00:00Z,2026-06-10T23:00:00Z,EUR,70,160,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260610-our-house,OUR HOUSE @ 10 Jun 2026,hi-ibiza,MEDUZA + James Hype,OUR HOUSE en hi-ibiza - 10/06/2026,event,2026-06-10T23:59:00Z,2026-06-11T06:00:00Z,2026-06-10T23:00:00Z,EUR,65,150,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260610-abracadabra,Abracadabra @ 10 Jun 2026,pacha,BLOND:ISH & Friends,Abracadabra en pacha - 10/06/2026,event,2026-06-10T23:59:00Z,2026-06-11T06:00:00Z,2026-06-10T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260610-paradise,Paradise @ 10 Jun 2026,unvrs,Jamie Jones,Paradise en unvrs - 10/06/2026,event,2026-06-10T23:59:00Z,2026-06-11T06:00:00Z,2026-06-10T23:00:00Z,EUR,65,170,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
ushuaia-20260611-martin-garrix,Martin Garrix @ 11 Jun 2026,ushuaia,Martin Garrix,Martin Garrix en ushuaia - 11/06/2026,event,2026-06-11T23:59:00Z,2026-06-12T06:00:00Z,2026-06-11T23:00:00Z,EUR,70,160,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260611-bed,bed @ 11 Jun 2026,hi-ibiza,Lineup TBA,bed en hi-ibiza - 11/06/2026,event,2026-06-11T23:59:00Z,2026-06-12T06:00:00Z,2026-06-11T23:00:00Z,EUR,50,120,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260611-music-on,Music On @ 11 Jun 2026,pacha,Marco Carola,Music On en pacha - 11/06/2026,event,2026-06-11T23:59:00Z,2026-06-12T06:00:00Z,2026-06-11T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260611-fisher,FISHER @ 11 Jun 2026,unvrs,FISHER & Friends,FISHER en unvrs - 11/06/2026,event,2026-06-11T23:59:00Z,2026-06-12T06:00:00Z,2026-06-11T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
eden-20260611-toolroom,Toolroom @ 11 Jun 2026,eden,Lineup TBA,Toolroom en eden - 11/06/2026,event,2026-06-11T23:59:00Z,2026-06-12T06:00:00Z,2026-06-11T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260612-calvin-harris,Calvin Harris @ 12 Jun 2026,ushuaia,Calvin Harris,Calvin Harris en ushuaia - 12/06/2026,event,2026-06-12T23:59:00Z,2026-06-13T06:00:00Z,2026-06-12T23:00:00Z,EUR,80,200,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260612-dom-dolla,Dom Dolla @ 12 Jun 2026,hi-ibiza,Dom Dolla & Friends,Dom Dolla en hi-ibiza - 12/06/2026,event,2026-06-12T23:59:00Z,2026-06-13T06:00:00Z,2026-06-12T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260612-music-on,Music On @ 12 Jun 2026,pacha,Marco Carola,Music On en pacha - 12/06/2026,event,2026-06-12T23:59:00Z,2026-06-13T06:00:00Z,2026-06-12T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260612-galactic-circus,Galactic Circus @ 12 Jun 2026,unvrs,David Guetta,Galactic Circus en unvrs - 12/06/2026,event,2026-06-12T23:59:00Z,2026-06-13T06:00:00Z,2026-06-12T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260612-glitterbox,Glitterbox @ 12 Jun 2026,amnesia,Armand Van Helden,Glitterbox en amnesia - 12/06/2026,event,2026-06-12T23:59:00Z,2026-06-13T06:00:00Z,2026-06-12T23:00:00Z,EUR,60,140,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
eden-20260612-viva-warriors,Viva Warriors @ 12 Jun 2026,eden,Lineup TBA,Viva Warriors en eden - 12/06/2026,event,2026-06-12T23:59:00Z,2026-06-13T06:00:00Z,2026-06-12T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260613-ants,ANTS @ 13 Jun 2026,ushuaia,Lineup estelar,ANTS en ushuaia - 13/06/2026,event,2026-06-13T23:59:00Z,2026-06-14T06:00:00Z,2026-06-13T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260613-black-coffee,Black Coffee @ 13 Jun 2026,hi-ibiza,Black Coffee & Friends,Black Coffee en hi-ibiza - 13/06/2026,event,2026-06-13T23:59:00Z,2026-06-14T06:00:00Z,2026-06-13T23:00:00Z,EUR,65,150,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260613-robin-schulz,Robin Schulz @ 13 Jun 2026,pacha,Robin Schulz & Friends,Robin Schulz en pacha - 13/06/2026,event,2026-06-13T23:59:00Z,2026-06-14T06:00:00Z,2026-06-13T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260613-elrow,elrow @ 13 Jun 2026,unvrs,Enter the Wortex,elrow en unvrs - 13/06/2026,event,2026-06-13T23:59:00Z,2026-06-14T06:00:00Z,2026-06-13T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260613-elrow,elrow @ 13 Jun 2026,amnesia,Lineup loco,elrow en amnesia - 13/06/2026,event,2026-06-13T23:59:00Z,2026-06-14T06:00:00Z,2026-06-13T23:00:00Z,EUR,55,130,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
dc10-20260613-circoloco,Circoloco @ 13 Jun 2026,dc10,Lineup TBA,Circoloco en dc10 - 13/06/2026,event,2026-06-13T23:59:00Z,2026-06-14T06:00:00Z,2026-06-13T23:00:00Z,EUR,55,140,https://dc10.com/tickets,https://images.ibizaglam.app/dc10-event.jpg,scheduled,true,manual,{}
eden-20260613-defected,Defected @ 13 Jun 2026,eden,Lineup TBA,Defected en eden - 13/06/2026,event,2026-06-13T23:59:00Z,2026-06-14T06:00:00Z,2026-06-13T23:00:00Z,EUR,40,90,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260614-swedish-house-mafia,Swedish House Mafia @ 14 Jun 2026,ushuaia,SHM,Swedish House Mafia en ushuaia - 14/06/2026,event,2026-06-14T23:59:00Z,2026-06-15T06:00:00Z,2026-06-14T23:00:00Z,EUR,75,180,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260614-the-anarchist,The Anarchist @ 14 Jun 2026,hi-ibiza,Lineup TBA,The Anarchist en hi-ibiza - 14/06/2026,event,2026-06-14T23:59:00Z,2026-06-15T06:00:00Z,2026-06-14T23:00:00Z,EUR,55,130,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260614-solomun-+1,Solomun +1 @ 14 Jun 2026,pacha,Solomun,Solomun +1 en pacha - 14/06/2026,event,2026-06-14T23:59:00Z,2026-06-15T06:00:00Z,2026-06-14T23:00:00Z,EUR,60,140,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260614-carl-cox,Carl Cox @ 14 Jun 2026,unvrs,Carl Cox all-night-long,Carl Cox en unvrs - 14/06/2026,event,2026-06-14T23:59:00Z,2026-06-15T06:00:00Z,2026-06-14T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260614-together,Together @ 14 Jun 2026,amnesia,Lineup TBA,Together en amnesia - 14/06/2026,event,2026-06-14T23:59:00Z,2026-06-15T06:00:00Z,2026-06-14T23:00:00Z,EUR,50,120,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
ushuaia-20260615-f***-me-im-famous,F*** ME I'M FAMOUS! @ 15 Jun 2026,ushuaia,David Guetta & Friends,F*** ME I'M FAMOUS! en ushuaia - 15/06/2026,event,2026-06-15T23:59:00Z,2026-06-16T06:00:00Z,2026-06-15T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260615-solèy,Solèy @ 15 Jun 2026,hi-ibiza,Francis Mercier & Guests,Solèy en hi-ibiza - 15/06/2026,event,2026-06-15T23:59:00Z,2026-06-16T06:00:00Z,2026-06-15T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260615-sonny-fodera,Sonny Fodera @ 15 Jun 2026,pacha,Sonny Fodera & Friends,Sonny Fodera en pacha - 15/06/2026,event,2026-06-15T23:59:00Z,2026-06-16T06:00:00Z,2026-06-15T23:00:00Z,EUR,45,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260615-experts-only,Experts Only @ 15 Jun 2026,unvrs,John Summit,Experts Only en unvrs - 15/06/2026,event,2026-06-15T23:59:00Z,2026-06-16T06:00:00Z,2026-06-15T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
dc10-20260615-circoloco,Circoloco @ 15 Jun 2026,dc10,Lineup TBA,Circoloco en dc10 - 15/06/2026,event,2026-06-15T23:59:00Z,2026-06-16T06:00:00Z,2026-06-15T23:00:00Z,EUR,50,130,https://dc10.com/tickets,https://images.ibizaglam.app/dc10-event.jpg,scheduled,true,manual,{}
ushuaia-20260616-calvin-harris,Calvin Harris @ 16 Jun 2026,ushuaia,Calvin Harris,Calvin Harris en ushuaia - 16/06/2026,event,2026-06-16T23:59:00Z,2026-06-17T06:00:00Z,2026-06-16T23:00:00Z,EUR,80,200,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260616-eastenderz,eastenderz @ 16 Jun 2026,hi-ibiza,East End Dubs & Guests,eastenderz en hi-ibiza - 16/06/2026,event,2026-06-16T23:59:00Z,2026-06-17T06:00:00Z,2026-06-16T23:00:00Z,EUR,55,130,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260616-vintage-culture,Vintage Culture @ 16 Jun 2026,pacha,Vintage Culture,Vintage Culture en pacha - 16/06/2026,event,2026-06-16T23:59:00Z,2026-06-17T06:00:00Z,2026-06-16T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260616-æden,ÆDEN @ 16 Jun 2026,unvrs,Anyma,ÆDEN en unvrs - 16/06/2026,event,2026-06-16T23:59:00Z,2026-06-17T06:00:00Z,2026-06-16T23:00:00Z,EUR,80,200,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260616-cocoon,Cocoon @ 16 Jun 2026,amnesia,Sven Väth,Cocoon en amnesia - 16/06/2026,event,2026-06-16T23:59:00Z,2026-06-17T06:00:00Z,2026-06-16T23:00:00Z,EUR,55,130,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
ushuaia-20260617-tomorrowland,Tomorrowland @ 17 Jun 2026,ushuaia,Dimitri Vegas & Like Mike,Tomorrowland en ushuaia - 17/06/2026,event,2026-06-17T23:59:00Z,2026-06-18T06:00:00Z,2026-06-17T23:00:00Z,EUR,70,160,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260617-our-house,OUR HOUSE @ 17 Jun 2026,hi-ibiza,MEDUZA + James Hype,OUR HOUSE en hi-ibiza - 17/06/2026,event,2026-06-17T23:59:00Z,2026-06-18T06:00:00Z,2026-06-17T23:00:00Z,EUR,65,150,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260617-abracadabra,Abracadabra @ 17 Jun 2026,pacha,BLOND:ISH & Friends,Abracadabra en pacha - 17/06/2026,event,2026-06-17T23:59:00Z,2026-06-18T06:00:00Z,2026-06-17T23:00:00Z,EUR,50,120,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260617-paradise,Paradise @ 17 Jun 2026,unvrs,Jamie Jones,Paradise en unvrs - 17/06/2026,event,2026-06-17T23:59:00Z,2026-06-18T06:00:00Z,2026-06-17T23:00:00Z,EUR,65,170,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
ushuaia-20260618-martin-garrix,Martin Garrix @ 18 Jun 2026,ushuaia,Martin Garrix,Martin Garrix en ushuaia - 18/06/2026,event,2026-06-18T23:59:00Z,2026-06-19T06:00:00Z,2026-06-18T23:00:00Z,EUR,70,160,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260618-bed,bed @ 18 Jun 2026,hi-ibiza,Lineup TBA,bed en hi-ibiza - 18/06/2026,event,2026-06-18T23:59:00Z,2026-06-19T06:00:00Z,2026-06-18T23:00:00Z,EUR,50,120,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260618-music-on,Music On @ 18 Jun 2026,pacha,Marco Carola,Music On en pacha - 18/06/2026,event,2026-06-18T23:59:00Z,2026-06-19T06:00:00Z,2026-06-18T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260618-fisher,FISHER @ 18 Jun 2026,unvrs,FISHER & Friends,FISHER en unvrs - 18/06/2026,event,2026-06-18T23:59:00Z,2026-06-19T06:00:00Z,2026-06-18T23:00:00Z,EUR,70,180,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
eden-20260618-toolroom,Toolroom @ 18 Jun 2026,eden,Lineup TBA,Toolroom en eden - 18/06/2026,event,2026-06-18T23:59:00Z,2026-06-19T06:00:00Z,2026-06-18T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260619-calvin-harris,Calvin Harris @ 19 Jun 2026,ushuaia,Calvin Harris,Calvin Harris en ushuaia - 19/06/2026,event,2026-06-19T23:59:00Z,2026-06-20T06:00:00Z,2026-06-19T23:00:00Z,EUR,80,200,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
hi-ibiza-20260619-dom-dolla,Dom Dolla @ 19 Jun 2026,hi-ibiza,Dom Dolla & Friends,Dom Dolla en hi-ibiza - 19/06/2026,event,2026-06-19T23:59:00Z,2026-06-20T06:00:00Z,2026-06-19T23:00:00Z,EUR,60,140,https://hi-ibiza.com/tickets,https://images.ibizaglam.app/hi-ibiza-event.jpg,scheduled,true,manual,{}
pacha-20260619-music-on,Music On @ 19 Jun 2026,pacha,Marco Carola,Music On en pacha - 19/06/2026,event,2026-06-19T23:59:00Z,2026-06-20T06:00:00Z,2026-06-19T23:00:00Z,EUR,55,130,https://pacha.com/tickets,https://images.ibizaglam.app/pacha-event.jpg,scheduled,true,manual,{}
unvrs-20260619-galactic-circus,Galactic Circus @ 19 Jun 2026,unvrs,David Guetta,Galactic Circus en unvrs - 19/06/2026,event,2026-06-19T23:59:00Z,2026-06-20T06:00:00Z,2026-06-19T23:00:00Z,EUR,75,190,https://unvrs.com/tickets,https://images.ibizaglam.app/unvrs-event.jpg,scheduled,true,manual,{}
amnesia-20260619-glitterbox,Glitterbox @ 19 Jun 2026,amnesia,Armand Van Helden,Glitterbox en amnesia - 19/06/2026,event,2026-06-19T23:59:00Z,2026-06-20T06:00:00Z,2026-06-19T23:00:00Z,EUR,60,140,https://amnesia.com/tickets,https://images.ibizaglam.app/amnesia-event.jpg,scheduled,true,manual,{}
eden-20260619-viva-warriors,Viva Warriors @ 19 Jun 2026,eden,Lineup TBA,Viva Warriors en eden - 19/06/2026,event,2026-06-19T23:59:00Z,2026-06-20T06:00:00Z,2026-06-19T23:00:00Z,EUR,35,80,https://eden.com/tickets,https://images.ibizaglam.app/eden-event.jpg,scheduled,true,manual,{}
ushuaia-20260620-ants,ANTS @ 20 Jun 2026,ushuaia,Lineup estelar,ANTS en ushuaia - 20/06/2026,event,2026-06-20T23:59:00Z,2026-06-21T06:00:00Z,2026-06-20T23:00:00Z,EUR,65,150,https://ushuaia.com/tickets,https://images.ibizaglam.app/ushuaia-event.jpg,scheduled,true,manual,{}
